Event_id,Episode,Name,Region_Province,Country,City_class,Population,Distance
1000000,49,Mandra,Sicilia (Sicily),Italy,Village,-,8 km
1000000,49,Casa Melia,Sicilia (Sicily),Italy,Village,-,8 km
1000000,49,Mareneve,Sicilia (Sicily),Italy,Village,-,8 km
1000000,49,Villino Platania,Sicilia (Sicily),Italy,Village,-,9 km
1000000,49,Passo Cannelli,Sicilia (Sicily),Italy,Village,-,9 km
1000000,49,Milo,Sicilia (Sicily),Italy,Village,1000 people,11 km
1000000,49,Pirao,Sicilia (Sicily),Italy,Village,-,11 km
1000000,49,Tarderia,Sicilia (Sicily),Italy,Village,-,11 km
1000000,49,Il Castello,Sicilia (Sicily),Italy,Village,-,11 km
1000000,49,Zafferana Etnea,Sicilia (Sicily),Italy,Village,8800 people,12 km
1000000,49,Cavaliere,Sicilia (Sicily),Italy,Village,-,12 km
1000000,49,Timpone,Sicilia (Sicily),Italy,Village,-,12 km
1000000,49,Monacella,Sicilia (Sicily),Italy,Village,-,12 km
1000000,49,Boschetto,Sicilia (Sicily),Italy,Village,-,12 km
1000000,49,Malopasso,Sicilia (Sicily),Italy,Village,-,13 km
1000000,49,Sant'Alfio,Sicilia (Sicily),Italy,Village,-,13 km
1000000,49,Ragalna Est,Sicilia (Sicily),Italy,Village,-,13 km
1000000,49,Toscano,Sicilia (Sicily),Italy,Village,-,13 km
1000000,49,Presa,Sicilia (Sicily),Italy,Village,-,13 km
1000000,49,Montelaguardia,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Dagala,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Santa Venerina,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,San Giovanni Montebello,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Passopisciaro,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Maletto,Sicilia (Sicily),Italy,Village,4000 people,14 km
1000000,49,Nunziata,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Ragalna,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Passo Zingaro,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Macchia,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Saluci,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Rovittello,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Solicchiata,Sicilia (Sicily),Italy,Village,-,14 km
1000000,49,Randazzo,Sicilia (Sicily),Italy,City,11000 people,15 km
1000000,49,Nicolosi,Sicilia (Sicily),Italy,Village,6600 people,15 km
1000000,49,Murazzo Rotto,Sicilia (Sicily),Italy,Village,-,15 km
1000000,49,Millicucco,Sicilia (Sicily),Italy,Village,-,15 km
1000000,49,Pedara,Sicilia (Sicily),Italy,Village,-,15 km
1000000,49,Monterosso Etneo,Sicilia (Sicily),Italy,Village,-,15 km
1000000,49,Linera,Sicilia (Sicily),Italy,Village,-,15 km
1000000,49,San Teodoro,Sicilia (Sicily),Italy,Village,-,15 km
1000000,49,Catena,Sicilia (Sicily),Italy,Village,-,16 km
1000000,49,Santa Venera,Sicilia (Sicily),Italy,Village,-,16 km
1000000,49,Pennisi,Sicilia (Sicily),Italy,Village,-,16 km
1000000,49,Bronte,Sicilia (Sicily),Italy,City,19000 people,16 km
1000000,49,Notara,Sicilia (Sicily),Italy,Village,-,16 km
1000000,49,Pietramarina,Sicilia (Sicily),Italy,Village,-,16 km
1000000,49,Trepunti,Sicilia (Sicily),Italy,Village,-,16 km
1000000,49,Trecastagni,Sicilia (Sicily),Italy,Village,9000 people,16 km
1000000,49,Biancavilla,Sicilia (Sicily),Italy,Village,23000 people,16 km
1000000,49,Linguaglossa,Sicilia (Sicily),Italy,Village,5300 people,16 km
1000000,49,Borrello,Sicilia (Sicily),Italy,Village,-,17 km
1000000,49,Sciarelle,Sicilia (Sicily),Italy,Village,-,17 km
1000000,49,Giarre,Sicilia (Sicily),Italy,City,27000 people,17 km
1000000,49,Altarello,Sicilia (Sicily),Italy,Village,-,17 km
1000000,49,Guardia,Sicilia (Sicily),Italy,Village,-,17 km
1000000,49,Piedimonte Etneo,Sicilia (Sicily),Italy,Village,3800 people,17 km
1000000,49,Adrano,Sicilia (Sicily),Italy,City,35000 people,17 km
1000000,49,Santa Maria di Licodia,Sicilia (Sicily),Italy,Village,6800 people,17 km
1000000,49,Mascali,Sicilia (Sicily),Italy,Village,12000 people,17 km
1000000,49,Viagrande,Sicilia (Sicily),Italy,Village,7400 people,17 km
1000000,49,Moio Alcantara,Sicilia (Sicily),Italy,Village,<1000 people,18 km
1000000,49,Carruba,Sicilia (Sicily),Italy,Village,-,18 km
1000000,49,La Cartiera,Sicilia (Sicily),Italy,Village,-,18 km
1000000,49,Massa Annunziata,Sicilia (Sicily),Italy,Village,-,18 km
1000000,49,Riposto,Sicilia (Sicily),Italy,Village,15000 people,18 km
1000000,49,Belpasso,Sicilia (Sicily),Italy,City,22000 people,18 km
1000000,49,Gona,Sicilia (Sicily),Italy,Village,-,18 km
1000000,49,Piano d'Api,Sicilia (Sicily),Italy,Village,-,18 km
1000000,49,Castiglione di Sicilia,Sicilia (Sicily),Italy,Village,3500 people,18 km
1000000,49,Sciara,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Spinelli,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Santa Domenica Vittoria,Sicilia (Sicily),Italy,Village,1100 people,19 km
1000000,49,Scillichenti,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Vitale,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Piano,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Fondachello,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Serravalle,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Fermata Scalilli,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Fiumefreddo di Sicilia,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Aci Sant'Antonio,Sicilia (Sicily),Italy,Village,-,19 km
1000000,49,Malvagna,Sicilia (Sicily),Italy,Village,<1000 people,19 km
1000000,49,Aci Bonaccorsi,Sicilia (Sicily),Italy,Village,2700 people,19 km
1000000,49,San Pietro Clarenza,Sicilia (Sicily),Italy,Village,-,20 km
1000000,49,Pozzillo,Sicilia (Sicily),Italy,Village,-,20 km
1000000,49,Santa Tecla,Sicilia (Sicily),Italy,Village,-,20 km
1000000,49,Aci Catena,Sicilia (Sicily),Italy,Village,-,20 km
1000000,49,Tremestieri Etneo,Sicilia (Sicily),Italy,Village,-,20 km
1000000,49,Camporotondo Etneo,Sicilia (Sicily),Italy,Village,-,20 km
1000000,49,Mascalucia,Sicilia (Sicily),Italy,City,26000 people,20 km
1000000,49,Cottone,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Vigne,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Francavilla di Sicilia,Sicilia (Sicily),Italy,Village,4100 people,21 km
1000000,49,San Gregorio,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Acireale,Sicilia (Sicily),Italy,City,53000 people,21 km
1000000,49,Maniace,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Casa Otaito,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Roccella,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Borgo San Giovanni,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Aci Platani,Sicilia (Sicily),Italy,Village,-,21 km
1000000,49,Paternò,Sicilia (Sicily),Italy,City,44000 people,21 km
1000002,1,Klyuchi,Kamchatskaya,Russia,City,6500 people,41 km
1000002,1,Mayskoye,Kamchatskaya,Russia,Village,-,45 km
1000002,1,Kozyrevskiy,Kamchatskaya,Russia,Village,-,46 km
1000002,1,Kozyrëvsk,Kamchatskaya,Russia,City,-,46 km
1000002,1,Ushki,Kamchatskaya,Russia,Village,-,47 km
1000002,1,Krasny Yar,Kamchatskaya,Russia,Village,-,47 km
1000002,1,Kamenka,Kamchatskaya,Russia,Village,-,47 km
1000002,1,Granëvo,Kamchatskaya,Russia,Village,-,48 km
1000002,1,Kresty,Kamchatskaya,Russia,Village,-,48 km
1000002,1,Srednyaya Kravcha,Kamchatskaya,Russia,Village,-,50 km
1000002,1,Kishkerdino,Kamchatskaya,Russia,Village,-,54 km
1000002,1,Kharchino,Kamchatskaya,Russia,Village,-,61 km
1000002,1,Tolbachik,Kamchatskaya,Russia,Village,-,63 km
1000002,1,Srednekamchatsk,Kamchatskaya,Russia,Village,-,64 km
1000003,1,Berastagi,Sumatera Utara,Indonesia,Village,-,13 km
1000003,1,Kutabuluh,Sumatera Utara,Indonesia,Village,-,13 km
1000003,1,Kabanjahe,Sumatera Utara,Indonesia,Village,56000 people,13 km
1000003,1,Bekancan,Sumatera Utara,Indonesia,Village,-,14 km
1000003,1,Tigabinaga,Sumatera Utara,Indonesia,Village,-,19 km
1000003,1,Sibaulangit,Sumatera Utara,Indonesia,Village,-,27 km
1000003,1,Merek,Sumatera Utara,Indonesia,Village,-,29 km
1000003,1,Laoboer,Sumatera Utara,Indonesia,Village,-,30 km
1000003,1,Kutabuluhpasar,Sumatera Utara,Indonesia,Village,-,31 km
1000003,1,Simbelin,Sumatera Utara,Indonesia,Village,-,32 km
1000003,1,Baturedan,Sumatera Utara,Indonesia,Village,-,33 km
1000003,1,Gunungmariah,Sumatera Utara,Indonesia,Village,-,34 km
1000003,1,Saranpandang,Sumatera Utara,Indonesia,Village,-,35 km
1000003,1,Pengkol,Sumatera Utara,Indonesia,Village,-,35 km
1000003,1,Saribudolok,Sumatera Utara,Indonesia,Village,-,35 km
1000003,1,Namoukur,Sumatera Utara,Indonesia,Village,-,36 km
1000003,1,Parendean,Sumatera Utara,Indonesia,Village,-,36 km
1000003,1,Tigajuhar,Sumatera Utara,Indonesia,Village,-,36 km
1000003,1,Tanjunglangkat,Sumatera Utara,Indonesia,Village,-,37 km
1000003,1,Paropo,Sumatera Utara,Indonesia,Village,-,40 km
1000003,1,Laosoloe,Sumatera Utara,Indonesia,Village,-,40 km
1000003,1,Pancurbatu,Sumatera Utara,Indonesia,Village,-,40 km
1000003,1,Goenoengrintih,Sumatera Utara,Indonesia,Village,-,42 km
1000003,1,Laomelgap,Sumatera Utara,Indonesia,Village,-,42 km
1000003,1,Hoetamanik,Sumatera Utara,Indonesia,Village,-,47 km
1000003,1,Bohorok,Sumatera Utara,Indonesia,Village,-,47 km
1000003,1,Sumbul,Sumatera Utara,Indonesia,Village,-,47 km
1000003,1,Binjai,Sumatera Utara,Indonesia,City,230000 people,48 km
1000003,1,Poelau,Sumatera Utara,Indonesia,Village,-,48 km
1000003,1,Toengtoengbatoe,Sumatera Utara,Indonesia,Village,-,49 km
1000003,1,Dalandolok,Sumatera Utara,Indonesia,Village,-,49 km
1000003,1,Negeridolok,Sumatera Utara,Indonesia,Village,-,50 km
1000003,1,Bintang,Sumatera Utara,Indonesia,Village,-,51 km
1000003,1,Bangunpurba,Sumatera Utara,Indonesia,Village,-,51 km
1000003,1,Sigalingging,Sumatera Utara,Indonesia,Village,-,54 km
1000003,1,Kotarih,Sumatera Utara,Indonesia,Village,-,54 km
1000003,1,Djamboerserakoet,Sumatera Utara,Indonesia,Village,-,55 km
1000003,1,Medan,Sumatera Utara,Indonesia,Major city,1.7 million people,56 km
1000003,1,Lawesigala-gala Timur,Aceh,Indonesia,Village,-,57 km
1000003,1,Keudeampöntoean,Aceh,Indonesia,Village,-,57 km
1000003,1,Karadjoan,Sumatera Utara,Indonesia,Village,-,58 km
1000003,1,Tanjungmorawa,Sumatera Utara,Indonesia,Village,-,59 km
1000003,1,Silauparibuan,Sumatera Utara,Indonesia,Village,-,59 km
1000003,1,Hoetapajoeng,Sumatera Utara,Indonesia,Village,-,59 km
1000003,1,Bindjai,Sumatera Utara,Indonesia,Village,-,60 km
1000003,1,Kasingahan,Sumatera Utara,Indonesia,Village,-,61 km
1000003,1,Binalun,Sumatera Utara,Indonesia,Village,-,61 km
1000003,1,Parboeloean,Sumatera Utara,Indonesia,Village,-,62 km
1000003,1,Galang,Sumatera Utara,Indonesia,Village,-,63 km
1000003,1,Pandjaitah,Sumatera Utara,Indonesia,Village,-,64 km
1000003,1,Genting,Sumatera Utara,Indonesia,Village,-,64 km
1000003,1,Hampenanperak,Sumatera Utara,Indonesia,Village,-,64 km
1000003,1,Pondok,Sumatera Utara,Indonesia,Village,-,66 km
1000003,1,Sarimatondang,Sumatera Utara,Indonesia,Village,-,67 km
1000003,1,Simpangraja,Sumatera Utara,Indonesia,Village,-,68 km
1000003,1,Salak,Sumatera Utara,Indonesia,Village,-,68 km
1000003,1,Lubukpakam,Sumatera Utara,Indonesia,Village,-,69 km
1000003,1,Biakmoeli,Aceh,Indonesia,Village,-,69 km
1000003,1,Pispis,Sumatera Utara,Indonesia,Village,-,69 km
1000003,1,Djongar,Sumatera Utara,Indonesia,Village,-,70 km
1000003,1,Segroen,Aceh,Indonesia,Village,-,70 km
1000003,1,Pematangdjohar,Sumatera Utara,Indonesia,Village,-,70 km
1000004,6,Gatakan,Jawa Tengah,Indonesia,Village,-,4 km
1000004,6,Banjumari,Jawa Tengah,Indonesia,Village,-,12 km
1000004,6,Bedojo,Yogyakarta,Indonesia,Village,-,13 km
1000004,6,Bandjarsari,Yogyakarta,Indonesia,Village,-,13 km
1000004,6,Ampel,Jawa Tengah,Indonesia,Village,-,15 km
1000004,6,Srumbung,Jawa Tengah,Indonesia,Village,-,16 km
1000004,6,Bojolali,Jawa Tengah,Indonesia,Village,-,17 km
1000004,6,Dalangan,Jawa Tengah,Indonesia,Village,-,18 km
1000004,6,Sleman,Yogyakarta,Indonesia,Village,56000 people,23 km
1000004,6,Kalasan,Yogyakarta,Indonesia,Village,-,24 km
1000004,6,Klaten,Jawa Tengah,Indonesia,City,130000 people,25 km
1000004,6,Balaboedoer,Jawa Tengah,Indonesia,Village,-,26 km
1000004,6,Candiumbul,Jawa Tengah,Indonesia,Village,-,26 km
1000004,6,Magelang,Jawa Tengah,Indonesia,City,110000 people,26 km
1000004,6,Salatiga,Jawa Tengah,Indonesia,City,170000 people,26 km
1000004,6,Pangkalan,Jawa Tengah,Indonesia,Village,-,27 km
1000004,6,Babadan,Jawa Tengah,Indonesia,Village,-,27 km
1000004,6,Kutu,Yogyakarta,Indonesia,Village,-,28 km
1000004,6,Yogyakarta,Yogyakarta,Indonesia,Major city,630000 people,30 km
1000004,6,Ambarawa,Jawa Tengah,Indonesia,Village,83000 people,31 km
1000004,6,Kaligesing,Yogyakarta,Indonesia,Village,-,33 km
1000004,6,Kartosuro,Jawa Tengah,Indonesia,Village,-,33 km
1000004,6,Bandoeng,Jawa Tengah,Indonesia,Village,-,35 km
1000004,6,Cawas,Jawa Tengah,Indonesia,Village,-,35 km
1000004,6,Naggulan,Yogyakarta,Indonesia,Village,-,36 km
1000004,6,Gogodalem,Jawa Tengah,Indonesia,Village,-,38 km
1000004,6,Kaliredjo,Jawa Tengah,Indonesia,Village,-,38 km
1000004,6,Kaloran,Jawa Tengah,Indonesia,Village,-,39 km
1000004,6,Bangsri,Jawa Tengah,Indonesia,Village,-,39 km
1000004,6,Temanggung,Jawa Tengah,Indonesia,Village,42000 people,39 km
1000004,6,Andong,Jawa Tengah,Indonesia,Village,-,39 km
1000004,6,Awonggo,Jawa Tengah,Indonesia,Village,-,39 km
1000004,6,Bantul,Yogyakarta,Indonesia,Village,58000 people,40 km
1000004,6,Surakarta,Jawa Tengah,Indonesia,City,550000 people,42 km
1000004,6,Kalipenten,Yogyakarta,Indonesia,Village,-,42 km
1000004,6,Imagiri,Yogyakarta,Indonesia,Village,-,43 km
1000004,6,Bener,Jawa Tengah,Indonesia,Village,-,45 km
1000004,6,Oengaran,Jawa Tengah,Indonesia,Village,-,45 km
1000004,6,Penawangan,Jawa Tengah,Indonesia,Village,-,45 km
1000004,6,Bendung,Jawa Tengah,Indonesia,Village,-,45 km
1000004,6,Plajen,Yogyakarta,Indonesia,Village,-,46 km
1000004,6,Parakan,Jawa Tengah,Indonesia,Village,24000 people,47 km
1000004,6,Gedangan,Jawa Tengah,Indonesia,Village,-,47 km
1000004,6,Sentol,Yogyakarta,Indonesia,Village,-,47 km
1000004,6,Ranousari,Jawa Tengah,Indonesia,Village,-,47 km
1000004,6,Pudakpajung,Jawa Tengah,Indonesia,Village,-,48 km
1000004,6,Srandakan,Yogyakarta,Indonesia,Village,29000 people,49 km
1000004,6,Genengan,Jawa Tengah,Indonesia,Village,-,50 km
1000004,6,Banjumudal,Jawa Tengah,Indonesia,Village,-,50 km
1000004,6,Wonosari,Yogyakarta,Indonesia,Village,27000 people,50 km
1000004,6,Galur,Yogyakarta,Indonesia,Village,-,50 km
1000004,6,Kebonongan,Yogyakarta,Indonesia,Village,-,51 km
1000004,6,Purworejo,Jawa Tengah,Indonesia,Village,-,52 km
1000004,6,Bendungan,Yogyakarta,Indonesia,Village,-,52 km
1000004,6,Purworedjo,Jawa Tengah,Indonesia,Village,-,52 km
1000004,6,Bodja,Jawa Tengah,Indonesia,Village,-,53 km
1000004,6,Panggang,Yogyakarta,Indonesia,Village,-,53 km
1000004,6,Karangasem,Jawa Tengah,Indonesia,Village,-,53 km
1000004,6,Tirtohardjo,Yogyakarta,Indonesia,Village,-,54 km
1000004,6,Djaranmati,Yogyakarta,Indonesia,Village,-,54 km
1000004,6,Muntung,Jawa Tengah,Indonesia,Village,-,57 km
1000004,6,Djambean,Jawa Tengah,Indonesia,Village,-,57 km
1000004,6,Ngandong,Jawa Tengah,Indonesia,Village,-,57 km
1000004,6,Pulebener,Yogyakarta,Indonesia,Village,-,57 km
1000004,6,Djambangan,Jawa Tengah,Indonesia,Village,-,58 km
1000004,6,Karangaweh,Jawa Tengah,Indonesia,Village,-,58 km
1000004,6,Koeangsan,Jawa Tengah,Indonesia,Village,-,58 km
1000004,6,Tempuredj,Jawa Tengah,Indonesia,Village,-,58 km
1000004,6,Broena,Jawa Tengah,Indonesia,Village,-,59 km
1000004,6,Djagalaja,Yogyakarta,Indonesia,Village,-,59 km
1000004,6,Goeboeg,Jawa Tengah,Indonesia,Village,-,59 km
1000004,6,Djomblang,Jawa Tengah,Indonesia,Village,-,60 km
1000004,6,Karangrajung,Jawa Tengah,Indonesia,Village,-,60 km
1000004,6,Wonogiri,Jawa Tengah,Indonesia,Village,38000 people,61 km
1000004,6,Wurjantoro,Jawa Tengah,Indonesia,Village,-,61 km
1000004,6,Panggul,Yogyakarta,Indonesia,Village,-,62 km
1000004,6,Kedungsurem,Jawa Tengah,Indonesia,Village,-,63 km
1000004,6,Semarang,Jawa Tengah,Indonesia,Major city,1.3 million people,63 km
1000004,6,Wonosobo,Jawa Tengah,Indonesia,Village,93000 people,63 km
1000004,6,Bintaos,Yogyakarta,Indonesia,Village,-,64 km
1000004,6,Kemiri,Jawa Tengah,Indonesia,Village,-,64 km
1000004,6,Sragen,Jawa Tengah,Indonesia,Village,71000 people,65 km
1000004,6,Petir,Yogyakarta,Indonesia,Village,-,65 km
1000004,6,Karangroto,Jawa Tengah,Indonesia,Village,-,65 km
1000004,6,Mangkang-Kulan,Jawa Tengah,Indonesia,Village,-,65 km
1000004,6,Kepek,Jawa Tengah,Indonesia,Village,-,66 km
1000004,6,Sukoredjo,Jawa Tengah,Indonesia,Village,-,67 km
1000004,6,Pablengan,Jawa Tengah,Indonesia,Village,-,67 km
1000004,6,Dukun,Jawa Tengah,Indonesia,Village,-,69 km
1000004,6,Pracimantoro,Yogyakarta,Indonesia,Village,-,69 km
1000004,6,Bakulan,Jawa Tengah,Indonesia,Village,-,69 km
1000004,6,Belang,Jawa Tengah,Indonesia,Village,-,70 km
1000005,1,White Sands,,Vanuatu,Village,-,3 km
1000005,1,Loanengo,,Vanuatu,Village,-,3 km
1000005,1,Isaka,,Vanuatu,Village,-,3 km
1000005,1,Ombous,,Vanuatu,Village,-,4 km
1000005,1,Ireupuow,,Vanuatu,Village,-,6 km
1000005,1,Waisisi,,Vanuatu,Village,-,8 km
1000005,1,Yokopenan,,Vanuatu,Village,-,8 km
1000005,1,Imareukak,,Vanuatu,Village,-,10 km
1000005,1,Imwareupo,,Vanuatu,Village,-,10 km
1000005,1,Yérou,,Vanuatu,Village,-,12 km
1000005,1,Yeruareng,,Vanuatu,Village,-,13 km
1000005,1,Loonélapeun,,Vanuatu,Village,-,17 km
1000005,1,Lowkahmal,,Vanuatu,Village,-,17 km
1000005,1,Isangel,,Vanuatu,Village,1400 people,17 km
1000005,1,Lénakel,,Vanuatu,Village,-,19 km
1000005,1,Iléreup,,Vanuatu,Village,-,20 km
1000005,1,Loanatom,,Vanuatu,Village,-,21 km
1000005,1,Laounalang,,Vanuatu,Village,-,22 km
1000005,1,Lownepina,,Vanuatu,Village,-,24 km
1000005,1,Loounimhapeun,,Vanuatu,Village,-,26 km
1000005,1,Loounémeloupang,,Vanuatu,Village,-,27 km
1000005,1,Isavaï,,Vanuatu,Village,-,35 km
1000005,1,Yawisaghuwi,,Vanuatu,Village,-,66 km
1000005,1,Ifo,,Vanuatu,Village,-,69 km
1000006,4,Lewotelo,Nusa Tenggara Timur,Indonesia,Village,-,3 km
1000006,4,Tokodjain,Nusa Tenggara Timur,Indonesia,Village,-,3 km
1000006,4,Waipoekang,Nusa Tenggara Timur,Indonesia,Village,-,4 km
1000006,4,Riangeba,Nusa Tenggara Timur,Indonesia,Village,-,5 km
1000006,4,Pasar Hadakewa,Nusa Tenggara Timur,Indonesia,Village,-,11 km
1000006,4,Hadakewa,Nusa Tenggara Timur,Indonesia,Village,-,12 km
1000006,4,Lewaling,Nusa Tenggara Timur,Indonesia,Village,-,14 km
1000006,4,Nereng,Nusa Tenggara Timur,Indonesia,Village,-,16 km
1000006,4,Lewoleba,Nusa Tenggara Timur,Indonesia,Village,-,17 km
1000006,4,Lewoheba,Nusa Tenggara Timur,Indonesia,Village,-,19 km
1000006,4,Kalikassa,Nusa Tenggara Timur,Indonesia,Village,-,19 km
1000006,4,Witihama,Nusa Tenggara Timur,Indonesia,Village,-,21 km
1000006,4,Lebewala,Nusa Tenggara Timur,Indonesia,Village,-,22 km
1000006,4,Labala,Nusa Tenggara Timur,Indonesia,Village,-,24 km
1000006,4,Boleng,Nusa Tenggara Timur,Indonesia,Village,-,24 km
1000006,4,Balauring,Nusa Tenggara Timur,Indonesia,Village,-,25 km
1000006,4,Lewokeling,Nusa Tenggara Timur,Indonesia,Village,-,26 km
1000006,4,Moelan,Nusa Tenggara Timur,Indonesia,Village,-,27 km
1000006,4,Peuara,Nusa Tenggara Timur,Indonesia,Village,-,28 km
1000006,4,Lamanoena,Nusa Tenggara Timur,Indonesia,Village,-,29 km
1000006,4,Sagu,Nusa Tenggara Timur,Indonesia,Village,-,30 km
1000006,4,Baringwala,Nusa Tenggara Timur,Indonesia,Village,-,30 km
1000006,4,Lamanuna,Nusa Tenggara Timur,Indonesia,Village,-,33 km
1000006,4,Papelawe,Nusa Tenggara Timur,Indonesia,Village,-,36 km
1000006,4,Lamararap,Nusa Tenggara Timur,Indonesia,Village,-,36 km
1000006,4,Adoenara,Nusa Tenggara Timur,Indonesia,Village,-,40 km
1000006,4,Wotanglolong,Nusa Tenggara Timur,Indonesia,Village,-,41 km
1000006,4,Lamakera,Nusa Tenggara Timur,Indonesia,Village,-,43 km
1000006,4,Throng,Nusa Tenggara Timur,Indonesia,Village,-,43 km
1000006,4,Koekoewerang,Nusa Tenggara Timur,Indonesia,Village,-,46 km
1000006,4,Woereh,Nusa Tenggara Timur,Indonesia,Village,-,49 km
1000006,4,Pulau Marisa,Nusa Tenggara Timur,Indonesia,Village,-,51 km
1000006,4,Lewohajong,Nusa Tenggara Timur,Indonesia,Village,-,52 km
1000006,4,Wailebe,Nusa Tenggara Timur,Indonesia,Village,-,53 km
1000006,4,Kayan,Nusa Tenggara Timur,Indonesia,Village,-,55 km
1000006,4,Riangkami,Nusa Tenggara Timur,Indonesia,Village,-,56 km
1000006,4,Aplame,Nusa Tenggara Timur,Indonesia,Village,-,56 km
1000006,4,Larantaka,Nusa Tenggara Timur,Indonesia,Village,-,58 km
1000006,4,Mulobahang,Nusa Tenggara Timur,Indonesia,Village,-,62 km
1000006,4,Lewobunge,Nusa Tenggara Timur,Indonesia,Village,-,62 km
1000006,4,Tapowolo,Nusa Tenggara Timur,Indonesia,Village,-,62 km
1000006,4,Balawelin,Nusa Tenggara Timur,Indonesia,Village,-,63 km
1000006,4,Mata,Nusa Tenggara Timur,Indonesia,Village,-,63 km
1000006,4,Blangmerang,Nusa Tenggara Timur,Indonesia,Village,-,64 km
1000006,4,Oka,Nusa Tenggara Timur,Indonesia,Village,-,64 km
1000006,4,Latuna,Nusa Tenggara Timur,Indonesia,Village,-,68 km
1000006,4,Pulu,Nusa Tenggara Timur,Indonesia,Village,-,69 km
1000006,4,Liko,Nusa Tenggara Timur,Indonesia,Village,-,70 km
1000007,1,Gunungsriti,Jawa Timur,Indonesia,Village,-,12 km
1000007,1,Gunungsawar,Jawa Timur,Indonesia,Village,-,12 km
1000007,1,Poncokusumo,Jawa Timur,Indonesia,Village,-,13 km
1000007,1,Gubukklakah,Jawa Timur,Indonesia,Village,-,13 km
1000007,1,Bambang,Jawa Timur,Indonesia,Village,-,14 km
1000007,1,Pasirian,Jawa Timur,Indonesia,Village,-,19 km
1000007,1,Sendoera,Jawa Timur,Indonesia,Village,-,19 km
1000007,1,Danuredjo,Jawa Timur,Indonesia,Village,-,20 km
1000007,1,Toempang,Jawa Timur,Indonesia,Village,-,20 km
1000007,1,Wadjak,Jawa Timur,Indonesia,Village,-,20 km
1000007,1,Sidomukti,Jawa Timur,Indonesia,Village,-,21 km
1000007,1,Gorotan,Jawa Timur,Indonesia,Village,-,21 km
1000007,1,Dampit,Jawa Timur,Indonesia,Village,23000 people,21 km
1000007,1,Putus,Jawa Timur,Indonesia,Village,-,22 km
1000007,1,Guying,Jawa Timur,Indonesia,Village,-,23 km
1000007,1,Wonokitri,Jawa Timur,Indonesia,Village,-,24 km
1000007,1,Sumbersuko,Jawa Timur,Indonesia,Village,-,24 km
1000007,1,Sugro,Jawa Timur,Indonesia,Village,-,25 km
1000007,1,Selokambang,Jawa Timur,Indonesia,Village,-,25 km
1000007,1,Djarit,Jawa Timur,Indonesia,Village,-,25 km
1000007,1,Kertowono,Jawa Timur,Indonesia,Village,-,25 km
1000007,1,Kedungredjo,Jawa Timur,Indonesia,Village,-,25 km
1000007,1,Tempeh,Jawa Timur,Indonesia,Village,26000 people,26 km
1000007,1,Gedokwetan,Jawa Timur,Indonesia,Village,-,27 km
1000007,1,Turen,Jawa Timur,Indonesia,Village,-,28 km
1000007,1,Lungurdowo,Jawa Timur,Indonesia,Village,-,28 km
1000007,1,Pudjihardjo,Jawa Timur,Indonesia,Village,-,29 km
1000007,1,Condro,Jawa Timur,Indonesia,Village,-,29 km
1000007,1,Sumber,Jawa Timur,Indonesia,Village,-,30 km
1000007,1,Puspong,Jawa Timur,Indonesia,Village,-,31 km
1000007,1,Gondanglegi,Jawa Timur,Indonesia,Village,22000 people,32 km
1000007,1,Tambaksari,Jawa Timur,Indonesia,Village,-,33 km
1000007,1,Lumadjang,Jawa Timur,Indonesia,Village,-,34 km
1000007,1,Panjunan,Jawa Timur,Indonesia,Village,-,34 km
1000007,1,Panggungredjo,Jawa Timur,Indonesia,Village,-,34 km
1000007,1,Loembang,Jawa Timur,Indonesia,Village,-,34 km
1000007,1,Malang,Jawa Timur,Indonesia,City,730000 people,35 km
1000007,1,Lumajang,Jawa Timur,Indonesia,Village,-,36 km
1000007,1,Kunir,Jawa Timur,Indonesia,Village,-,36 km
1000007,1,Pandaan,Jawa Timur,Indonesia,Village,-,36 km
